Page_likes,Type,Month,Weekday,Hour,Paid,Reach,Impressions,Engaged_Users,Fans_Impressions,Fans_Reach,Engaged_Fans,Total_Interactions
138353,Link,12,3,2,0,1925,3481,97,2307,1180,77,32
138353,Photo,12,2,11,0,3786,7329,338,6336,3216,280,92
138353,Link,12,2,2,0,1536,3094,84,2903,1407,76,14
138353,Photo,11,1,9,0,1728,3155,108,2313,1232,77,58
138329,Photo,11,1,3,1,25248,40125,726,16132,8608,451,337
138329,Photo,11,7,9,0,4894,8899,355,4914,2712,246,242
138329,Photo,11,7,3,0,2935,5439,237,3901,2044,201,87
138329,Photo,11,6,10,0,2425,4462,260,3017,1510,175,83
138329,Video,11,6,2,1,16416,31950,459,21436,9568,363,81
138329,Photo,11,5,11,0,5812,10465,343,4976,2764,240,220
138329,Photo,11,5,3,0,2545,4846,165,3675,1901,134,53
138329,Photo,11,4,10,0,2257,4372,230,3188,1557,168,90
138329,Photo,11,4,3,1,27072,84885,421,35637,9712,263,160
138185,Photo,11,3,11,1,10940,27951,417,15066,5100,319,123
138185,Photo,11,3,2,1,50912,164528,630,54653,12704,346,162
138185,Photo,11,2,10,1,28752,47358,802,14091,7456,408,202
138185,Photo,11,2,3,1,27216,81908,541,26869,7760,315,245
138185,Photo,11,1,10,0,2352,5234,232,4101,1761,181,69
138185,Photo,11,1,3,0,3416,6167,356,4530,2388,280,119
138185,Photo,11,7,11,0,2149,4120,197,3302,1640,161,55
138185,Photo,11,7,3,1,53456,93790,1576,32646,14912,884,787
138185,Photo,11,6,11,0,2168,3891,211,2873,1539,171,70
137893,Photo,11,6,3,0,3102,5939,360,3537,1780,275,119
137893,Photo,11,5,10,1,39344,103050,588,39304,11392,336,162
137893,Video,11,5,3,1,100768,220447,2101,59658,18880,885,550
137893,Status,11,4,11,0,9056,16362,1006,9562,5180,740,273
137893,Photo,11,4,2,1,11444,46054,555,13737,4320,438,233
137893,Video,11,3,11,0,13544,30235,517,26622,11760,447,114
137893,Photo,11,3,2,1,37376,68610,1150,22100,10880,724,505
137893,Photo,11,3,2,0,1228,2392,17,2392,1228,17,0
137177,Photo,11,1,10,0,22984,59040,438,12716,4968,262,97
137177,Photo,11,1,3,0,1445,2774,217,1924,1005,154,64
137177,Photo,11,7,12,0,3754,8533,658,6838,3224,598,38
137177,Status,11,7,3,0,8728,17827,2295,15418,7344,2099,101
137177,Photo,11,6,10,0,5990,11123,657,5057,2628,428,441
137177,Photo,11,6,3,0,4582,9193,454,3691,1722,305,252
137177,Photo,11,5,10,1,2938,5799,321,3668,1848,236,122
137177,Status,11,5,2,0,6692,13092,199,7549,3336,156,117
137177,Photo,11,4,9,1,2566,5244,384,3834,1806,266,158
137177,Link,11,4,3,0,21176,54779,330,13858,5248,185,163
137177,Photo,11,3,10,0,4012,7955,550,4625,2218,403,311
137177,Photo,11,3,3,0,1531,2838,212,1210,690,143,39
137059,Photo,11,2,11,1,2938,6056,374,4509,2078,287,126
137059,Photo,11,2,3,0,24720,37240,845,14475,8120,504,421
137059,Photo,11,1,9,0,2219,4545,287,3189,1495,221,91
137059,Photo,11,1,3,0,4732,9303,607,6201,3136,445,342
137059,Photo,11,7,9,0,2225,4239,310,2570,1389,233,129
137059,Photo,11,7,4,0,2626,4943,316,3047,1605,244,148
137059,Photo,10,6,10,0,3090,5744,391,3521,1796,293,185
137059,Photo,10,6,3,0,1101,2548,324,1284,704,220,65
137059,Photo,10,5,11,0,2819,5230,318,3128,1622,240,142
137020,Status,10,5,3,1,12468,24917,2143,15850,7636,1661,378
137020,Photo,10,4,10,0,12776,21893,785,13272,7800,575,430
137020,Photo,10,4,9,1,1357,2453,37,2154,1120,32,0
137020,Photo,10,4,3,0,68896,104952,2624,35707,19840,1354,1626
137020,Photo,10,3,10,0,1711,3174,288,2226,1118,205,79
137020,Photo,10,3,4,0,1388,2544,224,2161,1214,172,17
137020,Photo,10,2,11,1,2645,5472,357,4485,2101,265,72
137020,Photo,10,2,4,0,70144,111745,3216,43671,20608,1542,1136
137020,Photo,10,1,11,0,3674,7221,452,3832,1890,328,222
136736,Status,10,1,4,0,9504,19556,1132,16018,7616,981,238
136736,Photo,10,7,9,0,2426,4469,320,3120,1684,248,148
136736,Status,10,7,3,0,13872,27468,2664,20198,10432,2252,271
136736,Photo,10,6,10,0,1673,3655,338,2598,1469,268,34
136736,Photo,10,6,8,0,1261,2158,37,1911,1077,33,0
136736,Photo,10,6,4,0,2428,4510,311,2888,1560,236,139
136642,Photo,10,1,3,1,2227,4070,369,3227,1702,306,97
136642,Photo,10,7,13,0,1592,2749,370,2551,1454,327,17
136642,Photo,10,7,12,1,813,1568,323,1402,695,280,6
136642,Photo,10,7,12,0,32208,57472,1810,56149,31648,1724,458
136642,Photo,10,7,11,0,729,1374,303,1284,650,262,7
136642,Photo,10,7,10,0,834,1570,399,1390,704,351,9
136393,Photo,10,7,10,0,786,1573,263,1401,660,222,8
136393,Photo,10,7,9,0,584,1029,273,943,511,232,2
136393,Status,10,7,9,0,15816,30514,2733,23584,11912,2361,232
136393,Photo,10,7,8,0,619,1096,257,951,516,217,4
136393,Photo,10,7,7,0,617,1071,229,935,521,191,6
136393,Photo,10,7,6,0,677,1285,251,1210,615,211,7
136393,Photo,10,7,5,0,677,1240,236,1098,580,196,9
136393,Photo,10,7,3,0,3366,6647,474,3180,1674,385,242
136393,Photo,10,6,13,0,747,1443,226,1252,632,194,10
136393,Photo,10,6,13,0,645,1117,195,989,554,166,5
136393,Photo,10,6,12,0,754,1510,206,1430,690,175,3
136393,Photo,10,6,11,0,910,1673,207,1503,782,176,10
136393,Photo,10,6,9,0,3906,8239,868,7736,3768,774,10
136393,Photo,10,6,9,0,659,1158,199,1041,576,169,10
136393,Photo,10,6,8,0,652,1331,214,1249,588,182,12
136393,Photo,10,6,6,0,861,1565,214,1351,717,180,34
136393,Photo,10,6,2,0,3690,7659,424,6951,3290,377,68
136393,Link,10,5,10,0,4664,9463,204,7196,3324,173,48
136013,Photo,10,5,8,0,1080,2427,210,2195,934,184,39
136013,Status,10,5,3,0,8896,17202,1480,13838,7020,1292,154
136013,Photo,10,4,10,1,4018,8617,428,6677,2992,351,100
136013,Link,10,4,3,0,68992,229733,1032,17842,8032,635,202
136013,Status,10,3,10,0,13152,25666,2543,20547,10280,2278,265
136013,Status,10,3,2,1,31136,59964,6164,35977,18048,4376,1009
136013,Photo,10,2,10,1,16776,39549,714,11860,6200,590,447
136013,Photo,10,2,3,1,50736,140432,1462,46252,15552,1275,53
136013,Photo,10,1,10,1,5324,11040,528,8627,4054,448,96
136013,Photo,10,1,3,0,18120,44940,421,4401,2616,327,204
135713,Photo,10,7,10,0,2291,3960,303,3020,1723,253,94
135713,Status,10,7,4,0,10744,20691,1967,17502,8964,1834,179
135713,Link,10,6,11,1,3616,6887,111,4263,2138,93,35
135713,Photo,10,6,4,0,39984,112830,2105,70249,21328,1609,367
135713,Photo,10,5,11,0,4010,7444,477,4406,2362,354,200
135713,Photo,10,5,4,1,6564,12097,806,7682,4024,563,454
135713,Photo,10,4,10,0,8612,20151,813,16890,7208,630,193
135713,Photo,10,4,1,0,5568,10282,746,5696,3162,537,387
135700,Photo,9,3,7,0,1685,2999,322,1794,953,237,70
135700,Photo,9,2,11,0,3756,7094,469,4935,2556,365,163
135700,Photo,9,2,2,0,2656,4862,390,3273,1722,309,137
135700,Photo,9,1,10,0,5086,9493,622,6200,3298,489,252
135617,Photo,9,1,3,1,2055,3915,346,2970,1507,277,98
135617,Photo,9,7,9,0,9384,14948,757,11148,7020,604,409
135617,Photo,9,7,3,0,3992,7255,598,4428,2420,435,282
135617,Photo,9,6,10,0,7512,13633,769,5503,3260,530,410
135617,Status,9,6,4,0,11096,21080,1843,16095,8120,1604,288
135428,Photo,9,5,10,0,1060,2004,266,1705,870,204,18
135428,Photo,9,5,3,1,2790,4879,435,3501,1999,351,132
135428,Photo,9,4,10,1,13856,37716,519,26832,9064,389,84
135428,Photo,9,4,2,1,10748,19724,892,13674,7624,704,557
135428,Photo,9,3,10,0,41984,68290,3370,34802,20928,2126,1974
135428,Photo,9,3,2,1,2522,4583,455,3031,1674,333,121
135195,Photo,9,2,9,0,4480,8039,572,5014,2704,416,217
135195,Photo,9,2,2,0,1543,2874,360,2373,1228,267,38
135195,Status,9,1,10,0,21256,41906,4840,35455,17592,4318,228
135195,Photo,9,1,4,0,4484,7829,545,4208,2412,382,225
135195,Photo,9,7,3,0,4398,8105,584,4799,2616,431,243
135195,Status,9,6,10,1,13216,24738,2675,19599,10232,2342,189
135195,Photo,9,6,3,1,22304,37159,1805,22864,13304,1349,1174
135195,Photo,9,5,11,0,6208,10830,644,6866,4016,495,276
135195,Photo,9,5,2,0,4518,8533,626,4215,2254,439,299
135195,Photo,9,4,10,0,3582,6518,537,3857,2124,404,194
134879,Status,9,4,4,1,9124,17776,1476,13887,7092,1331,199
134879,Photo,9,3,10,0,14152,38806,631,19409,6632,404,114
134879,Photo,9,3,2,1,4260,7989,588,4578,2432,436,271
134879,Video,9,2,10,0,30624,56950,2080,32033,15744,1376,472
134879,Photo,9,2,3,0,2363,4223,393,3332,1788,297,90
134879,Photo,9,1,10,0,2232,4005,374,3247,1740,278,72
134879,Photo,9,1,6,0,4048,7217,544,4046,2280,368,263
134879,Photo,9,7,10,0,1804,2968,330,2293,1354,234,67
134879,Photo,9,7,4,1,2351,4028,371,3112,1791,288,117
133679,Photo,9,2,10,0,3100,5388,518,3927,2274,367,164
133679,Photo,9,2,3,1,2360,4004,436,2757,1603,300,119
133679,Photo,8,1,10,0,19648,33643,1359,24034,13528,1020,818
133679,Photo,8,1,4,0,2295,3721,377,3121,1882,269,70
133594,Photo,8,7,10,1,3934,6330,512,5010,3082,384,133
133594,Photo,8,7,3,0,34512,76659,1666,54860,22816,1278,490
133594,Photo,8,6,10,0,5282,8730,703,5123,3244,470,330
133594,Photo,8,6,8,0,1809,3130,399,2541,1435,289,73
133594,Photo,8,5,13,0,1920,3124,365,2541,1519,251,60
133451,Photo,8,4,9,1,1954,3530,356,3295,1772,252,32
132817,Photo,8,4,10,0,33536,64850,1954,50076,24448,1564,1290
132817,Photo,8,4,3,1,4204,7191,498,5161,2974,387,166
132817,Photo,8,3,9,0,3376,6557,428,5700,2806,331,45
132817,Status,8,3,2,1,9236,16054,1151,14014,7880,1075,70
132817,Photo,8,2,10,0,72864,205934,946,122474,30912,646,243
132817,Photo,8,2,3,0,3358,5682,394,4200,2426,298,132
132201,Photo,8,1,12,1,3254,5644,371,5069,2846,283,42
132201,Photo,8,1,3,0,50640,121234,2240,92348,34880,1790,931
132201,Photo,8,7,10,0,3734,6218,529,4831,2868,389,162
132201,Photo,8,7,3,0,2594,4220,347,3418,2067,248,66
132201,Photo,8,6,10,1,2232,3772,376,2205,1306,257,98
132201,Photo,8,6,3,1,22120,54734,979,46700,17528,796,107
132201,Photo,8,5,10,0,7980,12978,630,9342,5372,467,287
132201,Photo,8,5,1,0,1659,2845,345,1604,915,239,50
132201,Photo,8,4,11,1,1006,1594,277,1055,651,187,15
132201,Photo,8,4,3,1,12728,21685,844,15779,8844,657,470
131956,Photo,8,3,10,0,28880,64746,1062,40181,15808,740,126
131956,Photo,8,3,4,0,1330,2327,363,1475,827,230,28
131956,Status,8,2,12,0,14424,26000,304,25539,14056,291,57
131956,Photo,8,2,7,0,14200,26728,1393,25610,13376,1233,100
131956,Photo,8,1,12,0,5746,9874,769,7407,4288,584,271
131956,Photo,8,1,4,0,2540,4372,389,3655,2063,279,96
131956,Photo,8,7,10,0,4324,7241,548,4972,3008,401,212
131808,Status,8,7,4,0,8260,14305,997,12905,7360,956,86
131808,Status,8,6,10,1,20168,35904,3370,26881,15056,2806,404
131808,Photo,8,6,6,0,5046,9084,528,7723,4184,421,103
131808,Status,7,5,14,0,15296,25269,2827,22103,13296,2602,121
131728,Photo,7,5,8,1,3414,6369,473,4518,2390,360,217
131728,Photo,7,4,10,1,95424,252207,699,78287,22016,417,126
131728,Photo,7,4,3,0,14824,21863,868,13498,8560,650,456
131630,Photo,7,3,13,0,3504,5699,444,4487,2730,348,130
131630,Photo,7,2,23,0,2822,5058,424,3681,2020,327,135
131630,Photo,7,2,13,0,2973,5063,356,3764,2208,266,114
131630,Status,7,2,6,1,10824,20573,135,20030,10384,126,21
131630,Photo,7,1,11,0,4592,6691,320,3238,2100,222,54
131630,Photo,7,1,5,0,3176,5278,372,3993,2426,279,120
131300,Status,7,7,10,0,10956,19279,128,18838,10564,123,17
131300,Photo,7,7,4,0,10888,19744,913,14425,8048,722,294
131300,Photo,7,6,10,0,3594,6316,424,4319,2468,309,139
131300,Photo,7,6,2,0,3384,6166,451,4708,2508,344,128
130791,Photo,7,5,11,1,4096,7200,487,4911,2826,355,186
130791,Photo,7,5,3,0,19968,35161,1016,26701,14792,757,624
130791,Photo,7,4,11,0,4892,8499,536,7389,4206,428,144
130791,Status,7,4,6,0,17360,33613,2573,23338,11800,1905,572
130791,Video,7,3,11,1,21872,40413,3872,24667,12920,2218,409
130791,Photo,7,3,5,1,180480,319133,8072,108752,51456,3316,6334
130791,Photo,7,2,13,0,44464,66824,1052,22904,14080,559,188
130791,Photo,7,2,8,0,2881,5188,550,3840,2040,323,88
129600,Photo,7,1,12,0,3460,6503,541,4371,2260,314,115
129600,Photo,7,1,6,0,3406,5656,571,4446,2598,355,118
129600,Photo,7,7,11,1,2602,4349,479,3342,1946,287,68
129600,Photo,7,7,6,1,5848,9068,622,6651,4212,383,85
129600,Photo,7,6,11,0,26944,43464,877,20270,10208,563,234
129600,Photo,7,6,5,0,5292,9321,756,5867,3404,516,274
129600,Status,7,5,12,1,15576,27513,2417,19078,10840,1839,300
129600,Photo,7,5,3,0,54256,82011,1620,42128,24224,977,823
129600,Photo,7,4,12,1,3726,6372,602,4760,2852,399,85
129600,Photo,7,4,6,1,31904,50539,863,24010,12992,583,160
129600,Photo,7,3,13,1,40336,65309,1407,27771,14848,907,118
129600,Photo,7,3,1,0,4220,7774,685,4404,2326,407,203
129600,Photo,7,2,13,0,4666,8360,729,5010,2818,459,202
129600,Photo,7,2,7,1,4274,7948,701,5936,3164,460,143
129600,Photo,7,1,13,0,28208,41650,964,18035,11120,636,290
128032,Photo,7,1,3,0,3330,5461,513,3675,2196,307,79
128032,Photo,7,7,11,1,3528,5918,550,4606,2660,360,75
128032,Photo,7,7,3,0,38576,55398,1355,17365,12624,827,596
128032,Photo,7,6,13,1,2628,4264,528,3086,1846,328,55
128032,Photo,7,6,3,0,7232,12735,758,8855,4712,471,101
128032,Status,7,5,10,0,10188,16978,1473,14450,8536,1395,87
128032,Photo,7,5,3,0,6408,11881,909,7243,4040,490,195
128032,Photo,7,4,9,1,3414,6050,515,5005,2704,340,53
128032,Photo,7,4,5,1,53056,65260,2003,23679,17104,975,730
128032,Photo,7,3,10,1,66976,111502,1191,40203,19968,708,269
127082,Photo,7,3,3,1,76096,94644,2889,31096,19744,1276,587
126424,Photo,7,4,12,0,5458,9098,1007,5307,3204,537,171
126424,Photo,7,4,3,0,3706,6194,895,4700,2726,493,71
126424,Status,7,3,13,0,18320,31448,3742,25584,14920,3300,148
126424,Photo,7,3,4,1,2316,3611,722,2545,1529,372,30
126424,Video,6,2,13,0,139008,277100,1779,107502,38720,1008,271
126345,Photo,6,2,9,1,5854,11854,1043,5901,2894,583,218
126345,Photo,6,2,3,0,109056,191324,2552,48765,25024,1353,194
126345,Photo,6,1,12,0,3212,4908,735,3399,2162,375,49
126345,Photo,6,1,4,0,3046,4909,909,3559,2126,477,89
126345,Status,6,7,11,0,12044,20327,2240,17717,10400,2119,117
126141,Photo,6,7,4,1,9652,16968,1400,15917,8972,1035,39
126141,Photo,6,6,12,0,28112,47721,1631,41207,23440,1225,152
126141,Status,6,6,4,0,8628,14847,870,11970,6796,774,94
126141,Photo,6,5,11,1,2431,4180,389,3963,2301,342,18
126141,Photo,6,4,22,1,20560,24112,936,5648,3856,460,125
126141,Photo,6,4,12,0,20896,29062,1418,19738,13656,998,605
125612,Photo,6,4,11,0,2402,4072,170,3147,1794,137,67
125612,Photo,6,4,7,0,1729,3289,596,2888,1406,340,25
125612,Photo,6,4,3,0,4320,7127,753,4569,2782,459,172
125612,Photo,6,3,11,0,2585,4410,569,3802,2144,348,24
125612,Photo,6,3,3,0,3322,5969,610,4111,2236,375,95
125612,Photo,6,2,13,0,3600,5807,691,3351,2110,436,93
125612,Photo,6,2,2,0,11620,21564,1160,20024,10568,920,66
125612,Photo,6,1,14,0,4248,7004,724,5063,3114,501,117
125612,Photo,6,1,3,0,2763,4388,564,3519,2124,375,72
125612,Photo,6,7,11,0,3558,5396,621,3708,2392,403,94
124940,Photo,6,7,4,0,8324,14480,840,13786,7736,662,15
124940,Photo,6,6,9,0,6952,11469,909,7431,4292,646,285
124940,Photo,6,6,2,1,2823,4955,552,3579,1966,348,89
124940,Photo,6,5,13,1,63840,102620,1382,32470,16480,760,234
124940,Photo,6,5,3,1,11608,15323,985,8419,5840,594,363
124940,Photo,6,4,12,0,58304,80871,884,2289,1408,340,155
124940,Photo,6,4,2,0,4762,8303,842,6086,3494,569,238
124940,Photo,6,3,13,0,6150,10217,750,6253,3742,445,188
124940,Photo,6,3,3,1,4644,8178,768,5651,3144,506,184
124940,Photo,6,2,13,0,22464,29650,1029,9376,6864,546,163
124940,Photo,6,2,3,0,3754,6295,791,4343,2590,482,135
124940,Photo,6,1,13,0,4452,7998,666,7037,3768,397,25
124940,Photo,6,1,3,0,3576,5525,664,4229,2672,403,99
124940,Photo,6,7,10,0,3028,4794,579,3574,2184,349,73
124940,Photo,6,7,3,1,4022,6503,647,5416,3312,423,82
124940,Photo,6,6,12,1,52736,73584,1635,18580,10144,876,28
124940,Photo,6,6,4,0,47376,70212,1557,22710,13344,697,218
123047,Photo,6,5,12,0,3234,5113,756,3476,2174,347,75
123047,Photo,6,5,3,0,3322,5553,702,3484,1968,328,90
123047,Photo,6,4,13,0,6768,11525,768,7048,4012,408,226
123047,Photo,6,4,5,1,11304,20647,1141,14792,7800,732,235
123047,Photo,6,3,11,0,13544,18474,759,7326,4120,408,41
123047,Photo,6,2,13,0,3418,5659,581,4491,2620,327,59
123047,Photo,6,2,5,1,3662,6476,560,4930,2660,319,83
123047,Photo,6,1,10,0,56672,104966,2579,78678,37408,1831,1439
123047,Photo,6,1,3,1,3294,5499,526,4658,2710,305,65
121540,Photo,6,1,3,0,3110,5405,732,4605,2540,342,45
121540,Photo,5,7,14,0,3806,6486,722,4955,2772,361,97
120050,Photo,5,5,9,1,3776,6736,577,4846,2614,371,122
120050,Photo,5,4,12,0,39040,55633,1684,32021,19712,1101,691
120050,Photo,5,4,4,1,4032,7278,684,4935,2644,432,180
120050,Photo,5,3,12,0,21248,34095,1049,11280,6664,536,251
119198,Photo,5,3,5,0,4344,8025,692,4911,2528,367,134
119198,Photo,5,2,12,0,2718,4698,566,3601,1992,306,60
119198,Photo,5,2,1,0,3024,5630,596,4114,2098,341,84
119198,Status,5,1,2,0,10152,17099,1636,15382,8980,1613,67
119198,Photo,5,7,2,0,4708,8090,678,4664,2690,390,180
119198,Photo,5,6,14,0,2772,4642,526,3353,1943,305,83
119198,Photo,5,6,6,0,2812,4954,536,3382,1853,323,99
119198,Photo,5,5,10,1,6460,11373,823,6279,3612,505,313
117764,Photo,5,4,10,0,18056,32576,1062,26514,14728,701,390
117764,Photo,5,4,4,0,5016,8745,679,5904,3322,488,254
117764,Photo,5,3,11,0,3528,6181,470,4249,2352,322,114
117764,Photo,5,2,11,0,6444,11509,734,7910,4136,512,232
117764,Photo,5,1,13,1,4458,7753,491,5493,3106,340,136
117764,Link,5,1,2,0,12540,19301,344,16914,11008,289,63
117764,Photo,5,7,13,1,4362,7378,604,5681,3216,469,179
117764,Photo,5,7,2,0,38960,65149,2298,57722,34368,1978,948
117764,Photo,5,6,13,0,3144,5067,392,3586,2148,271,72
117764,Photo,5,6,8,1,4336,7705,574,5156,2752,403,190
117764,Photo,5,5,13,0,81856,124753,3000,52477,27392,1756,1806
116435,Photo,5,5,9,0,5728,10164,676,6890,3714,475,190
116435,Photo,5,4,13,1,5490,9518,647,6549,3716,476,203
116435,Status,5,4,3,1,23832,42313,1701,37816,21352,1578,255
116435,Photo,5,3,7,0,18552,25542,1005,15973,10584,676,429
116435,Photo,5,2,14,0,4132,7165,552,4908,2754,398,118
116435,Photo,5,2,8,0,4910,9209,625,5768,2812,411,188
116435,Photo,5,1,13,0,4202,7633,562,6173,3298,428,167
116091,Photo,5,1,3,0,5976,10441,689,7055,4046,487,309
116091,Photo,5,7,14,0,5206,8962,565,6461,3708,414,174
116091,Photo,5,7,2,0,6984,12066,780,8188,4776,570,335
116091,Photo,5,6,9,0,6000,10300,577,7886,4454,429,99
116091,Photo,5,6,3,0,3332,5797,463,4347,2330,341,105
116091,Status,5,5,7,0,9232,16811,908,12996,7200,843,166
115893,Photo,4,4,15,1,5212,9035,736,6258,3608,597,210
115893,Photo,4,3,13,0,24264,51899,1599,48466,21928,1392,236
115368,Photo,4,3,8,0,4280,7594,624,4632,2530,497,157
115368,Photo,4,2,13,0,6692,11859,905,8391,4692,737,355
115368,Photo,4,2,2,1,5594,9586,739,5732,3256,555,189
115368,Photo,4,1,2,0,11336,15350,583,13876,10160,484,54
113028,Photo,4,7,3,1,5582,9903,708,6315,3422,557,200
113028,Photo,4,6,14,0,28352,55202,1476,47899,24512,1185,528
113028,Status,4,6,3,1,17912,34774,2750,21009,11408,2256,587
113028,Link,4,5,7,1,35360,45260,339,9105,5472,156,56
113028,Photo,4,5,5,0,9084,15194,962,11853,7024,758,121
113028,Photo,4,4,12,1,6880,11736,671,9389,5232,556,75
111620,Photo,4,4,7,1,12824,18929,830,15678,10968,705,316
111620,Photo,4,3,7,0,6596,9835,564,8242,5352,456,79
111620,Photo,4,2,13,1,7492,12414,838,8452,5024,670,295
111620,Photo,4,2,6,1,44288,60918,1215,22130,14224,814,165
111620,Photo,4,1,14,1,105632,147918,3984,48575,27328,1936,2177
111620,Photo,4,7,14,0,128064,251269,1539,84046,32384,985,212
109670,Photo,4,6,20,0,5994,9970,964,6896,3998,683,280
109670,Photo,4,6,13,0,6172,10417,718,7692,4234,508,87
109670,Photo,4,6,3,0,4986,8198,662,5685,3230,469,122
109670,Photo,4,5,13,0,6668,10701,669,7956,4696,492,69
109670,Photo,4,5,7,1,5298,8875,657,5640,3206,471,183
109670,Photo,4,4,3,0,35008,45508,621,8149,4864,389,56
109670,Photo,4,3,13,1,5402,8891,700,6733,3992,514,126
109670,Photo,4,3,8,0,9880,12695,524,7072,4732,382,40
109670,Photo,4,2,13,0,3334,5953,584,4954,2604,440,44
109670,Photo,4,2,2,1,3130,5313,522,3821,2112,385,62
109670,Photo,4,1,13,1,32208,55696,1933,43980,24720,1568,881
109670,Photo,4,1,2,0,20920,26026,705,13546,9768,538,115
109670,Photo,4,7,14,0,3884,6406,518,4747,2686,392,71
107907,Photo,4,7,13,0,4240,7057,601,5026,2868,461,138
107907,Photo,4,6,9,0,3544,6156,509,5011,2746,387,58
107907,Photo,4,6,3,1,3286,6276,504,4010,2162,376,115
107907,Photo,4,5,9,0,71360,110172,1784,47977,25888,1103,97
107907,Photo,4,5,3,0,3824,6333,666,4447,2604,462,90
107907,Photo,4,4,13,0,6360,11079,715,6661,3864,505,225
107907,Photo,4,4,5,1,3714,6385,537,4441,2512,395,122
107907,Photo,4,3,13,1,46192,80227,1364,32842,16960,762,376
107907,Photo,4,3,4,1,39568,47128,741,22022,16096,519,149
107907,Link,4,2,6,0,70912,94172,1374,42338,27232,788,420
107907,Photo,4,1,3,0,4552,7253,471,4440,2664,316,77
107907,Photo,4,7,10,0,4390,7004,484,4607,2862,347,90
107907,Photo,4,7,3,0,4770,7716,494,5040,3114,344,124
106928,Photo,4,6,9,1,2970,4649,421,3346,2044,301,67
106928,Link,4,6,4,0,34192,42092,338,22907,16464,230,44
106928,Photo,4,5,13,0,5302,8769,624,6021,3606,441,168
106928,Photo,4,5,3,0,5560,9301,642,6600,3916,463,173
106928,Photo,4,4,13,0,4406,6769,477,4550,2830,335,91
106928,Photo,4,4,3,1,5290,8132,612,6032,3794,454,104
104070,Photo,3,5,14,1,3696,5824,517,4166,2650,391,81
104070,Photo,3,4,14,1,6030,9579,735,6956,4418,572,208
104070,Photo,3,4,7,0,49632,1110282,1653,1107833,48368,1513,249
104070,Status,3,3,15,0,9120,14759,951,13246,8004,924,34
